epoch,val_error1         ,val_error5         ,val_loss          ,train_error1       ,train_error5       ,train_loss
1    ,0.99664            ,0.98496            ,6.729115894862583 ,0.9983015498357749 ,0.9918262085846665 ,6.885481357574463
2    ,0.9776             ,0.92464            ,5.929311012735172 ,0.9886416145267444 ,0.956115045021418  ,5.7919158935546875
3    ,0.91504            ,0.756              ,4.9090979050616825,0.9404605797210046 ,0.8225681565571417 ,5.29241418838501
4    ,0.84384            ,0.6353599999999999 ,4.305254576157551 ,0.8557815992906472 ,0.6631885904112498 ,4.670384883880615
5    ,0.7568             ,0.5184             ,3.7116156889467824,0.7815493362306896 ,0.5504352278545828 ,4.131200313568115
6    ,0.728              ,0.47504            ,3.5132212249600157,0.7218725413060583 ,0.4769710139497708 ,3.6747429370880127
7    ,0.65632            ,0.39183999999999997,3.071278601276631 ,0.6741785620621183 ,0.4236009641202403 ,4.279749393463135
8    ,0.60624            ,0.33792            ,2.8394518823039774,0.637018720417619  ,0.3824947235647471 ,3.4478702545166016
9    ,0.58544            ,0.32448            ,2.708871014264165 ,0.6054912392441897 ,0.3524346533787919 ,3.230872392654419
10   ,0.54416            ,0.28447999999999996,2.493624828299698 ,0.5833489440885192 ,0.3295617748804216 ,2.968174934387207
11   ,0.52112            ,0.26480000000000004,2.3678323006143374,0.5594894658624006 ,0.3114782760730833 ,2.6235318183898926
12   ,0.51344            ,0.25424            ,2.3379206365468552,0.5429108438549823 ,0.29712262560413627,2.6085922718048096
13   ,0.47472000000000003,0.23248000000000002,2.1629679689601975,0.5271814469296767 ,0.2832977408115095 ,2.4169654846191406
14   ,0.46096000000000004,0.21760000000000002,2.076728132306313 ,0.5138748392092216 ,0.27094026700635665,3.0198824405670166
15   ,0.46368            ,0.21311999999999998,2.0304931304892717,0.5007618048530715 ,0.26046232812558545,2.4501729011535645
16   ,0.44704            ,0.20079999999999998,1.9859823718362926,0.4893971750777416 ,0.2515017546488829 ,2.4467756748199463
17   ,0.45552000000000004,0.21231999999999995,2.057199451388145 ,0.48099234448565686,0.24421465412810806,2.841108560562134
18   ,0.44079999999999997,0.19376000000000004,1.9474330386336969,0.47317447828856174,0.23602837410862587,2.865809202194214
19   ,0.4216             ,0.18752000000000002,1.882679846821999 ,0.4642451263222309 ,0.23094551222009918,2.2859928607940674
20   ,0.41232            ,0.18016            ,1.8521338336321773,0.45622119815668205,0.2255941453423751 ,2.2555434703826904
21   ,0.43472            ,0.19199999999999995,1.951324149053924 ,0.4502204238632248 ,0.22033019869369197,2.831042528152466
